ID,PV_mean,PV_std,PV_count,NPV_mean,NPV_std,NPV_count,BS_mean,BS_std,BS_count
NSABHC0001-53596,11.45,1.97,11,49.64,9.35,11,38.82,8.30,11
NSABHC0002-53597,10.06,1.95,16,89.56,1.80,16,0.00,0.00,16
NSABHC0003-53598,11.06,2.44,16,88.12,2.29,16,0.00,0.00,16
NSABHC0004-53599,18.44,2.89,16,35.00,12.68,16,45.75,12.83,16
NSABHC0005-53600,6.88,2.40,17,66.47,5.04,17,25.41,4.60,17
NSABHC0006-53601,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NSABHC0007-53602,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NSABHC0008-53603,3.33,0.47,3,96.67,0.47,3,0.00,0.00,3
NSABHC0009-53604,13.19,4.26,16,42.12,3.69,16,43.12,6.32,16
NSABHC0009-58026,21.75,3.03,16,43.06,2.49,16,33.81,3.61,16
NSABHC0010-53605,4.62,2.60,16,21.62,5.64,16,72.38,4.90,16
NSABHC0011-53606,14.64,1.23,14,46.29,2.12,14,37.79,1.90,14
NSABHC0012-53607,13.50,2.15,16,48.25,8.24,16,36.94,8.92,16
NSABHC0012-58022,26.20,5.08,15,43.80,3.66,15,28.33,7.39,15
NSABHC0013-53608,11.50,0.92,10,36.20,3.40,10,50.90,3.81,10
NSABHC0014-53609,8.76,1.31,17,34.35,3.68,17,55.41,3.50,17
NSABHC0015-57104,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NSABHC0016-57105,7.69,1.36,16,39.31,4.13,16,52.12,3.30,16
NSABHC0017-57106,0.27,0.44,15,51.13,3.50,15,47.40,3.61,15
NSABHC0018-57077,1.38,1.36,16,56.94,4.45,16,40.25,4.01,16
NSABHC0019-57078,4.00,1.87,16,57.31,3.72,16,37.31,3.42,16
NSABHC0020-57599,4.94,1.82,16,56.12,5.74,16,37.38,6.36,16
NSABHC0021-57098,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NSABHC0022-57086,2.56,2.26,16,30.12,3.79,16,66.06,3.07,16
NSABHC0023-57099,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NSABHC0024-57100,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NSABHC0025-57101,95.19,0.39,16,0.00,0.00,16,0.00,0.00,16
NSABHC0026-57102,24.94,1.92,16,11.56,7.51,16,63.00,6.33,16
NSABHC0028-58027,14.62,2.00,16,37.06,5.75,16,46.88,5.61,16
NSABHC0029-58028,57.12,7.50,16,33.19,6.31,16,8.25,3.78,16
NSACHC0001-58574,3.82,1.79,17,25.88,3.10,17,68.82,3.40,17
NSACHC0003-58575,15.12,6.35,16,46.00,3.67,16,37.50,4.89,16
NSACHC0004-58576,7.47,1.54,15,32.87,3.01,15,58.07,2.05,15
NSACOP0001-58551,32.50,2.16,10,46.40,1.50,10,19.90,1.76,10
NSACOP0002-58552,19.71,2.05,17,29.88,8.98,17,49.71,9.19,17
NSAMDD0001-56965,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NSAMDD0003-56968,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NSAMDD0004-56953,23.38,6.40,16,54.06,7.74,16,21.12,11.37,16
NSAMDD0005-56969,33.53,5.35,15,52.27,2.32,15,13.33,4.84,15
NSAMDD0006-56954,33.19,5.64,16,51.44,3.14,16,14.25,6.78,16
NSAMDD0007-56970,17.56,2.42,16,2.56,6.75,16,79.62,7.57,16
NSAMDD0008-56955,14.25,1.30,16,0.19,0.73,16,86.12,1.45,16
NSAMDD0009-56971,15.00,1.00,2,0.00,0.00,2,85.00,1.00,2
NSAMDD0010-56956,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NSAMDD0011-56981,13.94,1.82,16,9.81,9.69,16,76.31,8.64,16
NSAMDD0012-56957,27.47,2.64,17,73.00,2.33,17,0.00,0.00,17
NSAMDD0013-56982,21.19,2.38,16,28.31,13.79,16,50.00,12.25,16
NSAMDD0014-56963,19.24,1.55,17,79.82,2.98,17,1.24,1.77,17
NSAMDD0015-57636,21.06,2.25,16,28.31,16.12,16,50.75,14.46,16
NSAMDD0016-56973,19.69,3.60,16,29.06,18.53,16,50.69,16.56,16
NSAMDD0017-57080,33.00,1.94,8,55.25,0.97,8,10.75,1.71,8
NSAMDD0019-57081,10.75,2.14,16,63.25,5.18,16,24.62,5.73,16
NSAMDD0020-56984,31.62,2.80,16,51.50,1.37,16,15.88,3.31,16
NSAMDD0021-57082,18.12,1.62,16,36.19,5.20,16,44.38,4.39,16
NSAMDD0023-57083,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NSAMDD0024-56986,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NSAMDD0025-57084,30.50,3.22,16,57.25,3.46,16,11.19,2.48,16
NSAMDD0026-56987,15.94,2.25,16,55.94,3.01,16,26.94,3.53,16
NSAMDD0027-57087,21.88,2.15,16,53.94,3.65,16,22.94,4.21,16
NSAMDD0028-56988,18.00,6.47,16,50.88,1.73,16,29.62,7.06,16
NSAMDD0029-57088,18.41,5.10,17,48.65,3.77,17,31.76,5.16,17
